deal,image,location,price,shop,title
,,,6.50,,"嘉华鲜花饼 中秋月饼精制云腿云南特产传统糕点心零食小吃80g
				卖5送1"
,,,39.90,,"知味观 中华老字号 椒盐百果味*2筒组合 中秋手工酥皮苏式月饼
				十一出游，杭州特产，爆款抢第二份半价！戳！"
,,,129.00,,"稻香村中秋月饼礼盒 尚品荣典880g
				可开发票"
,,,118.00,,德芙Dove月饼礼盒 德芙X稻香村悦享中秋月饼礼盒508g 巧克力蛋黄枣泥五仁椰蓉中秋月饼礼盒
,,,148.00,,"京东超市元朗荣华 香港月饼品牌 伍仁金华火腿 18年新款600g 月饼礼盒 中秋送礼 广式月饼600g
				京东自营月饼礼盒好货在这里，手指 戳一下立享优惠"
,,,45.90,,"华美 月饼礼盒装广式蛋黄中秋节企业团购 星月祝福400g
				【京东7仓配送时效无忧】 团购享优惠400-610-1360转622708"
,,,52.00,,爱心东东日威月饼 广式月饼礼盒 合家团圆 月饼礼盒 600g
,,,168.00,,德芙巧克力月饼中秋节团购送礼多口味水果冰皮手工创意定制diy刻字网红礼盒装 发顺丰
,,,148.00,,"广州酒家 月饼双蛋黄纯白莲蓉750g 利口福广式月饼中秋送礼礼盒 双黄白莲蓉750g
				新鲜日期 全国7仓配送 当日达 次日达 极速配送"
,,,178.00,,广州酒家利口福 双黄白莲蓉月饼 广式月饼 礼盒  750g
,,,178.00,,"月饼礼盒 莲香楼 七星伴月 双黄白莲蓉蛋黄莲蓉4味8饼1020g 广式月饼 中秋月饼礼盒 中华老字号
				始创于1889年，尊重传统，中华老字号月饼品牌借问酒家何处有，请看广州莲香楼！(此商品不参加上述活动)"
,,,64.80,,"【首份减5元】香冠蛋黄云腿月饼800g云南宣威火腿月饼中秋月饼散装团购送礼滇式特产酥皮蛋黄酥 云腿10枚装
				云南特产零食热销中，满99-50专区好食，更多优惠点击查看详情！"
,,,158.00,,北京稻香村中华老字号京秋月圆月饼礼盒720g团购福利传统广式中秋送礼礼品
,,,189.00,,"【金九旗舰店】金九月饼伍仁金腿大饼 广式吴川五仁月饼礼盒2斤(1000g*1)
				
【秒杀返场】每满189减10元，每盒享179元 
【京东配送】华南地区 当天拍下次日达！次日达！
【认准金九旗舰店】品牌直营，正品保障，9月10日左右生产"
,,,45.90,,"京东超市五芳斋 月饼礼盒五芳福月蛋黄莲蓉广式月饼600g中秋大月饼礼盒装9种口味 五芳福月600g
				京东配送 货到付款"
,,,46.90,,"京东超市月饼 稻香村月饼礼盒 祥龙尊月610g 送礼袋
				目前有货的只有 祥龙尊月610g 月饼礼盒，请自行下单，如有疑问请联系客服。"
,,,18.00,,"京东超市琪华 中秋月饼 精装双黄三色月饼 礼盒 （铁罐装）430g
				京东自营，零食好货嗨翻天好货在这里，手指 戳一下立享优惠"
,,,59.00,,"京东超市稻香村月饼礼盒 浓情金月710g
				【京东8仓配送】 自营时效 浓情金月内含200g双黄莲蓉 团购联系在线客服 点击立即购买！"
,,,18.80,,京东超市日威月饼 中秋月饼  金装 蛋黄 白莲蓉 月饼 铁盒装 400g
,,,45.90,,"爱心东东五芳斋 中华老字号 中秋月饼礼盒广式月饼 蛋黄莲蓉豆沙团购福利 五芳福享500克
				五芳斋中秋会场 低至买一送一 点击进入"
,,,18.80,,京东超市琪华  中秋月饼 金装蛋黄白莲蓉味 月饼 礼盒  600g
,,,178.00,,"【顺丰速运】稻香村月饼中秋礼盒五仁豆沙蛋黄流心多口味中秋节送礼月饼休闲点心节日特产礼包礼品公司团购 上品金尊880g
				购买月饼，选择这款就对了"
,,,9.90,,"月饼礼盒 金苹果 感恩礼月饼 中秋月饼礼盒广式月饼蛋黄莲蓉4味6饼350g
				商务送礼的不二选择，更有散装月饼等你抢！部分199-100手快有手慢无！点击此处抢购！(此商品不参加上述活动)"
,,,128.00,,月饼 华美花团锦簇中秋月饼礼盒600g
,,,128.00,,迪士尼（Disney）月饼礼盒 大白暖心冰皮月饼 四种口味 中秋礼品 4枚 240g/盒
,,,298.00,,稻香村月饼礼盒 中秋月饼礼品大礼包 罐装礼盒 企业团购福利送礼 十全尊礼980g
,,,148.00,,京东超市广州酒家利口福 双黄纯白莲蓉月饼 月饼礼盒 680g
,,,198.00,,广州酒家 岭南佳果月饼礼盒786g/盒 利口福水果月饼广式月饼中秋送礼团购月饼
,,,36.00,,"京东超市稻香村月饼礼盒 玲珑彩月510g
				【京东7仓配送】 自营时效 玲珑彩月内含15块月饼 团购联系在线客服 点击立即购买！"
,,,59.90,,"月饼 华美传承中秋月饼礼盒600g
				【自营 正品保障】华美月饼礼盒，中秋月饼大礼包中秋专场9.9元起【APP限时秒杀】猛戳惊喜！"
,,,39.90,,"知味观 中华老字号  流心奶黄月饼 2盒装 流沙蛋黄月饼
				十一出游，杭州特产，爆款抢第二份半价！戳！"
,,,148.00,,广州酒家 欢乐一家月饼礼盒761g/盒 蛋黄莲豆沙月饼 利口福广式月饼广东 中秋礼盒送礼福利
,,,38.00,,京东超市日威月饼  中秋月饼 广式月饼 美满团圆月饼 礼盒  670g
,,,85.50,,"京东超市杏花楼  广式月饼迷你铁盒600g中秋送礼团购糕点上海特产
				月圆中秋，品尝美味，杏花楼月饼，爆款直降《《《《《(此商品不参加上述活动)"
,,,49.90,,京东超市稻香村 中秋月饼礼盒 糕点点心 稻香尊月 680克/盒
,,,79.00,,京东超市米旗 Maky 寄月礼月饼礼盒9粒装中秋礼品团购福利
,,,189.00,,"京东超市中国香港 原装进口月饼 元朗荣华 纯正五仁月饼740g 中秋月饼礼盒礼品
				香港生产，原装进口，细选湘潭寸三莲，香脆瓜子仁，优质杏仁，榄仁五种果仁迎国庆，全球美食嘉年华，低至满199减100，点击查看！"
,,,59.90,,"爱心东东月饼 华美金秋福礼中秋月饼礼盒660g（A款）
				【自营 正品保障】华美月饼礼盒，中秋月饼大礼包中秋专场9.9元起【APP限时秒杀】猛戳惊喜！"
,,,88.00,,"华美（Huamei）华美月饼礼盒 蛋黄白莲蓉 广式月饼中秋企业团购批发送礼 720g双黄白莲蓉【七仓配送 自营时效】
				
【品质保障】华美月饼，厂家正品授权，品质保证！日期新鲜，每盒都送精美礼袋！ 
【京东配送 极速送达】京东全国七仓配送，次日达！火速到家 ！
【多买优惠】单盒秒杀价98元，可开发票，欢迎团购！ 
【店长推荐】华美感恩月吉祥安康红盒680g，京东三仓配送！"
,,,49.90,,"月饼礼盒 金尊 七星伴月 双黄莲蓉710g 4味8饼 铁罐装 中秋月饼礼盒广式月饼
				始于1969澳门老街，传承正宗广式月饼糕点点击抢爆品(此商品不参加上述活动)"
,,,15.80,,优优马  中秋月饼 流心冰皮月饼 360g
,,,165.00,,"麦轩 2018蛋黄酥月饼广式蛋黄绿茶香芋莲蓉礼盒中秋月饼 广东特产糕点团购月饼伴手礼 蛋黄酥礼盒（9个装）
				麦轩蛋黄酥  中秋节 送礼佳品"
,,,9.90,,"日月坊 月饼五仁酥皮老式手工苏式酥饼500克5个 买2斤送1斤 大白皮黑芝麻早餐饼 五仁月饼500克（买两斤送一斤)
				买2斤送1斤，做工精细，用料新鲜。"
,,,178.00,,"北京特产 稻香村糕点礼盒2000g传统小吃点心月饼礼盒装 京八件糕点礼盒 - 京八件糕点礼盒
				稻香村月饼券 全国免费配送 可货到付款 点击了解！！！客服热线:18893881199"
,,,58.00,,"巧克力中秋节冰皮月饼礼盒装公司团购批发员工福利大礼包礼品
				多口味 代写贺卡 手工制作 送长辈送亲友送女友~送礼推荐礼盒~"
,,,29.00,,"稻香村月饼广式蛋黄莲蓉豆沙散装多口味糕点传统五仁老式中秋礼盒 蛋黄莲蓉味12个
				稻香村中华老字号，选用优质食材，口感细腻，独立包装，无菌封袋，高颜值"
,,,42.00,,"海鹏 丰镇月饼10个装/1500g整箱包邮 内蒙古特产早餐蛋糕软面包饼干口袋点心小吃儿童休闲零食 冰糖黑糖各5枚
				超值精品中秋礼盒奶酪月饼8枚装400g 详情请点击"
,,,14.90,,"京东超市7式 烘焙原料 月饼馅料 无蔗糖 莲蓉馅 200g
				火锅食材、西式烘焙、菜肴包、熟食肉制品满199减100，仅一天，抓紧抢购》》》"
,,,59.90,,【买一送一】月饼 稻香村月饼礼盒 中秋礼月饼礼盒 中秋礼品月饼 中秋礼400g
,,,138.00,,广州酒家 浓情食品大礼包 蛋黄纯白莲蓉月饼腊肠香米 月饼礼盒中秋送礼广东
,,,188.90,,"魔吻（AMOVO）中秋节巧克力月饼礼盒装 公司团购时尚中秋礼品顺 月之霓裳-9枚装铁质礼盒
				【顺丰冷链配送，新鲜直达】更多中秋礼盒 顺丰配送【点击进入】"
,,,39.90,,京东超市真真老老 中秋月饼礼盒装 感恩心礼560g/盒
,,,38.80,,"京东超市上海冠生园中秋月饼礼盒 花香沁月450g
				京东自营，零食好货嗨翻天好货在这里，手指 戳一下立享优惠"
,,,90.00,,"杏花楼 嫦娥铁盒月饼礼盒800g 中华老字号 中秋月饼礼盒 广式月饼
				团购更多优惠    经典礼盒 甄选优质馅料 6种口味齐"
,,,88.00,,"京东超市莫斯科餐厅（MOSCOW RESTAURANT）中秋月饼礼盒悦色8粒装520g铁盒装中秋节送礼欧式
				【京东自营】北京展览馆荣誉出品，源自1954年的光荣与梦想！"
,,,29.90,,"爱心东东稻香村月饼礼盒 情满稻香礼盒装6饼4味 传统广式月饼中秋节送礼品福利团购赠手提袋北京特产糕点心
				品推荐：德芙精美时尚巧克力月饼礼盒 赠送德芙刀叉 爆款直降 仅49.9元即可得 进入购买"
,,,49.00,,京东超市小猪佩奇（Peppa Pig）秋夕之游流心冰皮月饼礼盒210g中秋节送礼
,,,19.90,,爱心东东琪华 金装迷你三色月饼礼盒 中秋月饼 广式月饼 430g
,,,58.00,,广州酒家 花城锦绣月饼393克/盒 利口福广式月饼广东 时尚中秋送礼礼盒福利团购
,,,44.90,,"【京七仓配送 自营时效】华美月饼祝福月500克 广式月饼中秋月饼礼盒装礼袋装 企业团购批发送礼福利 祝福月500g（京东七仓配送）
				
【品质保障】华美月饼，日期新鲜，每盒都送精美礼袋
【多买多优惠】快！准！狠！火热购买中！每盒都送月饼礼袋，可开发票！
【全国京东配送 急速送达】京东全国七仓配送，火速到家！
【店长推荐】华美祝福月500g！详情联系客服或团购热线：18002954113多买多优惠！"
,,,169.00,,"京东超市中国香港 原装进口月饼 元朗荣华 中秋月饼礼盒礼品 蛋黄白莲蓉月饼礼盒510g
				香港生产，原装进口，香潭的“寸三莲”，搭配丰润鲜红的水乡咸鸭蛋黄迎国庆，全球美食嘉年华，低至满199减100，点击查看！"
,,,49.90,,爱心东东德芙巧克力月饼形礼盒装 小月圆中秋节送礼品团购流心冰皮散装多口味员工福利夹心巧克力礼盒教师节礼物礼盒
,,,49.00,,京东超市阳茗一世月饼礼盒8味9饼（买一送一）情满中秋925g
,,,189.00,,"【金九月饼专卖店】金九月饼礼盒京东自营时效五仁月饼吴川特产 伍仁金腿大饼1000克（大饼）
				【京东仓配 自营时效保障 限部分产品】中秋佳节，买饼要好，送礼要早，团购联系客服更优惠~"
,,,59.90,,"北京稻香村 中秋月饼 月饼礼盒 送礼佳品 团圆中秋月饼礼盒640g
				温馨提示：买2送一活动，需拍下3件"
,,,168.00,,"稻香村月饼礼盒上品御月860g 送礼袋 蛋黄莲蓉 五仁枣泥豆沙月饼礼盒 新老包装随机发货
				京东物流 下单后24小时内发货 高峰期物流爆仓有延迟 季节新商品无质量问题不退不换"
,,,142.00,,"陶陶居 广州酒家 中秋手工中秋月饼广式月饼批发送礼团购礼盒 双黄白莲蓉720g  现货直发 双黄白莲蓉720g
				中秋节前狂欢，底价一波带走"
,,,148.00,,好时 好时猴月饼礼盒480g  广式蛋黄莲蓉月饼
,,,218.00,,榴芒一刻 榴莲冰皮月饼  中秋节月饼礼盒装 金枕榴莲馅月饼 冰淇淋新颖口感100g*6个 顺丰冷链 1盒装
,,,45.90,,"华美 月饼礼盒装广式蛋黄中秋节企业团购 星月祝福400g
				【京东7仓配送时效无忧】团购享优惠400-610-1360转622708"
,,,148.00,,广州酒家 蛋黄纯白莲蓉月饼750g 广式月饼中秋送礼月饼铁盒员工福利广东月饼
,,,59.00,,京东超市杏花楼集团新雅 幸福之味月饼礼盒675g 广式月饼礼盒
,,,115.00,,麦轩新式中秋礼盒蛋黄酥月饼（62.5g*6枚）375g
,,,78.00,,"月饼礼盒装巧克力冰皮创意送礼团购礼品中秋大礼包
				代写贺卡，不让爱等待——爱TA就要告诉TA~送礼推荐礼盒~"
,,,6.80,,仟味轩 中秋月饼 苏式月饼 百果300g
,,,198.00,,"顺丰中秋节月饼礼盒传统休闲食品糕点创意巧克力抹茶流心月饼送女友长辈礼物礼盒包邮 小确幸浪漫恋爱礼盒
				德芙巧克力流心月饼 中秋节企业单位团购 员工福利"
,,,39.90,,知味观 中华老字号  流心奶黄月饼 2盒装 流沙蛋黄月饼
,,,29.90,,"京东超市稻香村（DAOXIANGCUN） 月饼礼盒 稻香珍月510g送礼袋
				中秋已至，月饼少量库存不计成本清仓，无质量问题不退不换不补差价，祝您中秋国庆快乐！"
,,,198.00,,"食滋源 冰皮月饼礼盒多口味广式中秋月饼送礼水果味高档礼盒批发 15饼4味
				时尚高档礼盒"
,,,69.90,,京东超市帝辉 中秋月饼礼盒富贵八福月饼礼盒730g/盒
,,,148.00,,"月饼礼盒 莲香楼 伍仁咸肉月饼 中秋月饼礼盒广式月饼五仁4个装 铁罐装 中华老字号750g
				始创于1889年，尊重传统，中华老字号月饼品牌借问酒家何处有，请看广州莲香楼！(此商品不参加上述活动)"
,,,498.00,,京东超市美心 中秋月饼 流心奶黄月饼 （8个装） 360g
,,,108.00,,京东超市广州酒家 广式月饼礼盒 名家尚品月饼礼盒690g
,,,148.00,,"广州酒家 月饼礼盒 双黄纯白莲蓉月饼750g 利口福广式月饼蛋黄月饼 中秋月饼礼盒
				点击进入月饼礼盒专区，广州酒家、元朗荣华等十大品牌任选，团购热线：021-60496010"
,,,3.50,,中秋广式月饼蛋黄莲蓉五仁黑芝麻豆沙水果味手工老式伍仁散装多口味团购批发100g 豆沙味100g
,,,4.90,,"京东超市俏香阁 泰式椰奶月饼 传统糕点 休闲零食 手工月饼 中秋节 60g/袋
				【京东自营限时达】【坚果零食满199减100】品质坚果开学献礼，爆款直降，速来抢购点击查看更多"
,,,59.90,,"米旗金秋情浓广式月饼礼盒装450g蛋黄白莲豆沙散多口味中秋节送礼
				点击购买锦绣团圆月饼礼盒更优惠。"
,,,69.00,,"米旗月饼礼盒装 广式月饼蛋黄白莲五仁黑芝麻月饼中秋节公司福利团购优惠 锦绣团圆450g
				团购请咨询在线客服"
,,,15.90,,"西瓜味的童话中秋月饼小礼盒散装多口味蛋黄莲蓉豆沙水果味老式五仁手工奶黄流心月饼企业团购员工福利批发 蛋黄莲蓉6只小礼盒
				月饼自吃好口味"
,,,199.00,,盛园祥 中秋节月饼礼盒广式月饼8只装 幸福时光礼盒480g中秋礼品 中秋大礼包 幸福时光礼盒
,,,388.00,,杏花楼 豪华提篮月饼礼盒1880g 中华老字号 中秋月饼礼盒 广式月饼
,,,39.90,,"莫斯科餐厅月饼礼盒 中秋礼品团购 欧式月饼 心意不同 流心冰皮
				北京周边次日达，其他地区多收25元运费发顺丰次日达，如无时效可联系客服修改价格"
,,,188.00,,全聚德仿膳 月饼御龙锦月月饼礼盒巧克力流芯白莲蛋黄月饼礼盒
,,,398.00,,广州酒家利口福 俩好双黄红豆沙月饼750g/盒*4盒  广式月饼中秋送礼月饼礼盒员工团购福利
,,,58.00,,"【两件八折】中华老字号 广式月饼礼盒装 莲蓉蛋黄豆沙提拉米苏多口味500g中秋节送礼团购 金秋喜月月饼礼盒 500g/盒
				点击此进入中秋节月饼礼盒装优惠专区，联系客服团购价更优。"
,,,39.00,,"京东超市稻香村月饼礼盒 老月饼400g 传统五仁豆沙多口味点心糕点中秋节礼品 员工福利团购 二口味八饼
				满199减100数量有限 早买早得 点击抢购"
,,,158.00,,"爱心东东德芙巧克力月饼中秋节团购送礼多口味水果冰皮手工创意定制diy刻字网红礼盒装 发圆通
				情人节巧克力礼盒装手工创意定制diy刻字生日礼物 顺丰配送 冰袋护航"
,,,388.00,,"爱心东东月饼 稻香村月饼礼盒 中秋京苏广式双蛋黄莲蓉五仁流心奶黄 传统糕点 北京特产团购礼品茶点心零食小吃 十全尊礼980g
				中秋月饼团购专场，低至6折包邮！猛戳！北京地区可2小时送达，详询：4000-585-583"
,,,29.90,,"美禾臣 阿玛熊 全蛋黄月饼中秋蛋黄莲蓉紫薯月饼礼盒礼袋 480g/袋
				今日22点秒杀预告：全蛋黄月饼亏本让利，买2再送5！20年大品牌限量1000份，手慢无"
,,,19.90,,"京东超市天乙贵人 广式月饼礼盒400g 四口味  中秋送礼传统糕点 休闲小吃零食中秋大礼包
				月圆中秋，品尝美味，杏花楼月饼，爆款直降《《《《《(此商品不参加上述活动)"
,,,150.00,,陶陶居广州名酒家金腿五仁月饼手果坚果工广东广式中秋月饼团购中秋送礼盒 金腿伍仁720g  现货直发 金腿伍仁720g
,,,1008.00,,【限时3件7折】首农自选礼品册二十选一礼品卡2018中秋国庆节日提货券 壹零款
,,,49.90,,"稻香村 月饼礼盒中秋节广式月饼蛋黄莲蓉五仁企业团购礼品礼盒  稻香福韵710g
				中秋大促 即将结束 请尽快下单 快速发货"
,,,130.00,,金辉煌 广式中秋加头双黄白莲蓉月饼礼盒 600g
,,,199.00,,"【吴川馆】金九月饼 广式吴川金九五仁月饼 广东中秋大月饼礼盒 伍仁金腿大饼1kg
				【顺丰配送！速度有保障！】
【广东省内免邮发顺丰，省外收取邮费发顺丰】
【吴川馆】本地全月饼品牌经营，产地直发，更有保障
【金九正规授权】资质齐全，正品保证"
,,,49.90,,"京东超市知味观 感恩之礼 中秋月饼礼盒 310g
				稻香村爆款月饼礼盒，下单送周黑鸭鸭脖，送完即止，手快有手慢无。【下单请点击】"
,,,118.00,,"京东超市粮丰园 中秋月饼礼盒团购 金腿五仁大月饼 中秋月饼礼盒1000g/盒
				京东配送 货到付款 团购优惠电话"
,,,438.00,,京东超市全聚德仿膳月饼礼盒 中华老字号 盛世中秋月饼双层礼盒松仁五仁白莲蓉京味糕点特制礼盒2275g
,,,55.90,,"功德林 上海月饼中秋苏式素食礼盒豆沙海苔五仁无蔗糖月饼多口味组合 锦绣净素月饼礼盒320克
				4口味320g包邮 新品上市"
,,,199.00,,"京东超市中国香港 原装进口 手工月饼 八珍PATCHUN 广式月饼礼盒 双黄白莲蓉月饼（纸盒）720g
				香港老品牌，限量1008盒，手工制作！每盒都有特别纪念编号证书！迎国庆，全球美食嘉年华，低至满199减100，点击查看！"
,,,198.00,,"顺丰中秋节月饼礼盒传统休闲食品糕点创意巧克力抹茶流心月饼送女友长辈礼物礼盒包邮 小确幸浪漫恋爱礼盒
				德芙巧克力流心月饼 中秋节企业单位团购 员工福利"
,,,29.90,,"青松功夫 中秋月饼礼盒 红豆沙红枣泥哈密瓜6粒420g 团购送礼福利 欢月礼盒
				中秋月饼 团购福利送礼"
,,,3.50,,"中秋广式月饼莲蓉蛋黄豆沙五仁水果多口味散装批发100g满8个包邮 豆沙
				日期新鲜，味道好吃"
,,,198.00,,广州酒家利口福 中秋月饼 风味金腿五仁大月饼 1000g
,,,68.00,,"好时（Hershey's）中秋节月饼礼盒 萌萌哒120g 牛奶醇黑巧克力月饼礼盒
				点击进入月饼礼盒专区，广州酒家、元朗荣华等十大品牌任选，团购热线：021-60496010"
,,,86.00,,"北京稻香村月饼礼盒广式京式苏式月饼大礼包北京特产团购优惠 玉兔纳福（五仁、铁盒）月饼礼盒（4块）
				团购优惠：18601327587  补邮费可发顺丰(标注京东物流的除外)"
,,,158.00,,"爱心东东华美福贵佳礼中秋月饼礼盒790g
				【自营 正品保障】华美月饼礼盒，中秋月饼大礼包中秋专场9.9元起【APP限时秒杀】猛戳惊喜！"
,,,11.80,,京东超市竹乐（ZHULE）传统苏式月饼休闲零食糕点中秋节礼品礼包装果仁味288g
,,,358.00,,莫斯科餐厅（MOSCOW RESTAURANT） 中秋月饼礼盒莫斯科餐厅月饼礼盒雅月天鹅湖1120g
,,,268.00,,✅素直 月饼中秋月饼 传统休闲食品糕点 七夕礼物 礼盒230克（40克*5只+1只五谷桃皮30克）
,,,358.00,,"广州酒家 大师手制金腿五仁月饼三黄白莲蓉月饼 广式月饼高端礼盒中秋送礼 大师手制金腿五仁月饼
				广州酒家官方旗舰店，正品保障，月饼抢先购，量大更优惠，可提供发票，详情咨询在线客服~"
,,,165.00,,"麦轩 蛋黄酥月饼礼盒中秋月饼 广东特产糕点团购月饼伴手礼礼盒 562.5g/9个装(豪华时尚款)
				麦轩蛋黄酥 中秋节 送礼佳品"
,,,9.90,,"日月坊 月饼广式老五仁手工苏式酥皮500克5个买2斤送1斤 早餐饼休闲零食 五仁月饼500克（买两斤送一斤)
				买2斤送1斤，做工精细，用料新鲜。"
,,,148.00,,"麦香皇广西合浦伍仁大月饼礼盒装2斤铁盒广式五仁老式手工叉烧中秋节月饼
				中秋豪礼"
,,,39.80,,"云腿月饼丫眯乐滇式中秋月饼云南特产食品点心糕点火腿月饼云腿蛋黄月饼 散装月饼散饼 云腿口味50gX10个
				全店零食热销中，满99-50专区好食，优惠多多，查看更多精彩！"
,,,438.00,,"广州顺丰空运 星巴克（Starbucks）中秋月饼礼盒 现货实物 月饼礼盒 448型 星悦月饼礼盒
				广州仓发出  包邮   顺丰空运  不保证到货时效，因快递延误拒收不退货不退款。"
,,,69.00,,"月饼礼盒装蛋黄酥（2枚*3盒）月饼中秋月饼送礼团购台式手工酥皮送礼高档台湾风味莲蓉玫瑰豆沙香芋
				企业团购可享优惠  不一样的月饼，独特口味，流连忘返"
,,,29.80,,【云南发货】益佰珍 云腿月饼小饼 云腿酥饼 滇式火腿月饼云南火腿月饼 中秋月饼散饼礼盒装 300克装
,,,318.00,,"中粮中秋大礼包中秋礼盒礼品杂粮月饼礼盒米面粮油 318型3100+1650ml
				可定制logo。团购更优惠联系400-610-1360转301322"
,,,128.00,,"广式月饼礼盒装传统老式高档月饼中秋节食品送人礼品团购批发 中秋月圆高档礼盒800g
				团购洽谈，可开增值税专票。"
,,,226.00,,陶陶居广州酒家手工广东广式中秋月饼五仁蛋黄莲蓉豆沙酥皮团购礼盒装 七星伴月880g  现货直发 七星伴月880g
,,,298.00,,稻香村月饼礼盒 五仁 豆沙 中秋月饼 稻香盛世720g
,,,98.00,,"【三仓配送】莲香楼 蛋黄纯白莲蓉750g 广式月饼中秋团购礼盒企业送礼批发 蛋黄纯正白莲蓉750g
				
【品质保障】莲香楼月饼，正品授权，老广州味道，日期新鲜，每盒都送精美礼袋！ 
【多买优惠】两盒享团购！联系客服有惊喜！可开发票！
【京东配送 极速送达】京东全国三仓配送，火速到家 ！
【欢迎团购】团购请联系在线客服或者电话：【13538588617】
【店长推荐】华美双黄白莲蓉720g，京东七仓配送，极速送达！"
,,,188.00,,"京东超市广州酒家利口福 中秋月饼 榴莲芝士流沙 月饼 礼盒 400g
				京东自营，零食好货嗨翻天好货在这里，手指 戳一下立享优惠"
,,,238.00,,乐琪月饼流心奶黄月饼礼盒400g
,,,58.00,,华美 金丽沙 心意佳礼月饼礼盒460g 广式月饼礼盒
,,,75.90,,"京东超市潘祥记云腿月饼云南宣威火腿滇式中秋云腿酥饼 云腿月饼100g*10个
				暑去秋来，吃心不变满99减30，买三免一等更多惊喜特价"
,,,199.00,,"京东超市中国香港 原装进口 手工月饼 八珍PATCHUN 广式月饼礼盒 豆沙双黄月饼（纸盒） 720g
				香港老品牌，限量1008盒，手工制作！每盒都有特别纪念编号证书！迎国庆，全球美食嘉年华，低至满199减100，点击查看！"
,,,39.80,,"稻香村（DAOXIANGCUN） 月饼礼盒 如意中秋月饼礼盒620g 椰蓉五仁多口味京式月饼礼盒
				点击进入月饼礼盒专区，广州酒家、元朗荣华等十大品牌任选，团购热线：021-60496010"
,,,68.00,,广州酒家 月饼利口福广式月饼广东  榴莲芝士流沙月饼400g/盒 流心中秋月饼送礼福利团购
,,,17.00,,"知味观 中华老字号 杭州特产馅饼 苏式酥皮椒盐百果月饼175g 百果
				十一出游，杭州特产，爆款抢第二份半价！戳！"
,,,99.00,,京东超市帝辉 中秋月饼礼盒华韵金秋中秋月饼礼盒840g/盒
,,,118.00,,中粮中秋礼盒月饼米面粮油杂粮坚果组合大礼包 118型3536g+900ml
,,,99.00,,"俏香阁 月饼礼盒装广式蛋黄中秋节企业团购 福满金秋540g 福满金秋540g
				中秋提前购，好礼抢不停，花样好礼领券立减120元"
,,,29.90,,品至尊 迷你单黄白莲蓉月饼270g
,,,2.80,,稻香村月饼礼盒 中秋节礼品月饼礼盒装多口味散装糕点心 蛋黄莲蓉五仁月饼 企业团购福利 蜜汁南瓜
,,,53.90,,老鼎丰 五仁月饼川酥青红丝枣泥百果老式月饼 传统糕点 东北特产 500g 传统五仁500g 500g（每袋5块）
,,,198.00,,福临门 中粮中秋礼盒月饼米面粮油杂粮组合大礼包 198型4520g+900ml
,,,39.90,,"稻香村 月饼礼盒 中秋节广式蛋黄莲蓉五仁月饼团购礼品礼盒 富贵中秋620g
				中秋大促即将结束 请尽快购买 快速发货"
,,,59.90,,"月饼 华美传承中秋月饼礼盒600g
				【自营 正品保障】华美月饼礼盒，中秋月饼大礼包中秋专场9.9元起【APP限时秒杀】猛戳惊喜！"
,,,208.00,,福临门 中粮大礼包团购礼品月饼礼盒米面粮油组合提货券 208型3220+900ml
